website_url,domain,status_code,access_status,title,meta_description,h1,h2_headings,emails_found,phones_found,social_links,about_page,contact_page,error,scraped_at
https://www.nike.com,www.nike.com,200,success,Nike. Just Do It. Nike.com,"Inspiring the world's athletes, Nike delivers innovative products, experiences and services.",,Toma National Finals | Engineered for Every Move | Engineered for Every Move | TRENDING | TRENDING | Africa | Americas | Asia Pacific | Europe | Middle East,,6.24 - 6.26,https://www.instagram.com/theopening/?hl=en,https://about.nike.com/en/newsroom/releases/the-opening-2026,https://www.nike.com/help,,2026-06-24 16:56:18
https://www.adidas.com,www.adidas.com,403,blocked_or_failed,,,,,,,,,,HTTP 403,2026-06-24 16:56:21
https://www.apple.com,www.apple.com,200,success,Apple,,Apple,iPhone 17 Pro | iPhone 17 | MacBook Air | Endless entertainment. | Apple Footer,,1-800-692-7753 | 877-255-5923,,,https://support.apple.com/?cid=gn-ols-home-hp-tab,,2026-06-24 16:56:22
https://www.shopify.com,www.shopify.com,200,success,Shopify: The All-in-One Commerce Platform for Businesses - Shopify,Try Shopify free. Build or grow your business fast with AI. Get more than ecommerce software with tools to manage every part of your business.,Be the nextAI all-star,"store they line up for | Your brand has entered the chat | Meet your secret weapon, Sidekick | There’s no better place for you to build | Build fast on Shopify",,,https://twitter.com/shopify | https://www.facebook.com/shopify | https://www.instagram.com/shopify/ | https://www.linkedin.com/company/shopify | https://www.pinterest.com/shopify/ | https://www.tiktok.com/@shopify | https://www.youtube.com/user/shopify,https://www.linkedin.com/company/shopify,https://help.shopify.com/en,,2026-06-24 16:56:24
https://www.tesla.com,www.tesla.com,403,blocked_or_failed,,,,,,,,,,HTTP 403,2026-06-24 16:56:26
https://www.github.com,www.github.com,200,success,GitHub · Change is constant. GitHub keeps you ahead. · GitHub,"Join the world's most widely adopted, AI-powered developer platform where millions of developers, businesses, and the largest open source community build software that advances humanity.","Search code, repositories, users, issues, pull requests...","Navigation Menu | Use saved searches to filter your results more quickly | GitHub features | GitHub customers | Accelerate your entire workflow | Built-in application security where found means fixed | Work together, achieve more | From startups to enterprises, GitHub scales with teams of any size in any industry. | Millions of developers and businesses call GitHub home | Site-wide Links",,,https://www.instagram.com/github | https://www.linkedin.com/company/github | https://www.tiktok.com/@github | https://www.youtube.com/github | https://x.com/github,https://www.github.com/security/advanced-security/code-security,https://support.github.com,,2026-06-24 16:56:28
https://www.microsoft.com,www.microsoft.com,200,soft_blocked,Your request has been blocked. This could be due to several reasons.,,,"Your current User-Agent string appears to be from an automated process, if this is incorrect, please click this link:",,,https://www.xbox.com/,https://onedrive.live.com/about/en-us/,https://support.microsoft.com/en-us,Page returned 200 but content appears blocked,2026-06-24 16:56:30
https://www.netflix.com,www.netflix.com,200,success,"Netflix Pakistan - Watch TV Shows Online, Watch Movies Online","Watch Netflix movies & TV shows online or stream right to your smart TV, game console, PC, Mac, mobile, tablet and more.","Unlimited movies, TV shows, and more",Trending Now | More Reasons to Join | Frequently Asked Questions,,,http://ir.netflix.com/ | https://help.netflix.com | https://help.netflix.com/contactus | https://help.netflix.com/legal/corpinfo | https://help.netflix.com/legal/notices | https://help.netflix.com/legal/privacy | https://help.netflix.com/legal/termsofuse | https://help.netflix.com/support/412 | https://jobs.netflix.com/jobs | https://media.netflix.com/ | https://www.netflix.com# | https://www.netflix.com/pk/browse/genre/839338 | https://www.netflix.com/pk/login | https://www.netflix.com/watch | https://www.netflix.com/youraccount,,https://help.netflix.com/contactus,,2026-06-24 16:56:32
https://www.spotify.com,www.spotify.com,200,success,Spotify – Web Player,,,,,,,,,,2026-06-24 16:56:35
https://www.canva.com,www.canva.com,200,success,Canva: Visual Suite for Everyone,"Canva is a free-to-use online graphic design tool. Use it to create social media posts, presentations, posters, videos, logos and more.",What will you design today?,Digital design | Print design | Images and photos | Videos and audio | Product | Canva AI | All Canva AI | Plans | Canva for business | All Canva for business,,,,https://www.canva.com/about/,https://www.canva.com/contact-sales/,,2026-06-24 16:56:37
